TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-07-31 09:19:04,1785489544272,quinzena-10jbcoqhl-quinzena1.vercel.app/api/config,GET,,200,rcd62-1785489544272-355a2d51da96,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,master,MISS,function,/api/index.js,quinzena-10jbcoqhl-quinzena1.vercel.app,quinzena-10jbcoqhl-quinzena1.vercel.app,dpl_EgQom54uyxN7C5uFgJS6UFq94yKp,23,iad1,204,2048,,prj_sDMEn6UahuyguHv7XeoVE5u4WpOb,,,01KYVQGN6DX0GA8HC4JT0X3Y59,Wh7otHQwdRrk,1,,
2026-07-31 09:19:02,1785489542052,quinzena-10jbcoqhl-quinzena1.vercel.app/api/config,GET,,200,th999-1785489542052-a9fe1e3545d5,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,master,MISS,function,/api/index.js,quinzena-10jbcoqhl-quinzena1.vercel.app,quinzena-10jbcoqhl-quinzena1.vercel.app,dpl_EgQom54uyxN7C5uFgJS6UFq94yKp,93,iad1,206,2048,,prj_sDMEn6UahuyguHv7XeoVE5u4WpOb,,,01KYVQGJY85YHJA4G94WEP28GC,Wh7otHQwdRrk,1,,
